DAYS_OUT,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,HEIGHT,WEIGHT,POSITION,MPG,injuries_last_3,avg_days_out_last_3
71,32.0,52,3.0,472,81,235.0,Forward,9.076923076923077,10,11.2
67,33.0,18,0.0,88,81,235.0,Forward,4.888888888888889,12,14.416666666666666
14,34.0,28,0.0,122,81,235.0,Forward,4.357142857142857,11,15.0
13,30.0,75,1.0,1679,78,200.0,Guard,22.386666666666667,0,0.0
108,32.0,39,32.0,1028,78,200.0,Guard,26.358974358974358,1,13.0
22,33.0,1,0.0,5,78,200.0,Guard,5.0,10,12.1
32,23.0,21,0.0,258,81,255.0,Forward-Center,12.285714285714286,0,0.0
46,24.0,33,9.0,775,81,255.0,Forward-Center,23.484848484848484,2,16.0
11,25.0,39,23.0,584,81,255.0,Forward-Center,14.974358974358974,3,26.0
10,26.0,65,8.0,1108,81,255.0,Forward-Center,17.046153846153846,4,22.25
52,28.0,56,54.0,1576,81,255.0,Forward-Center,28.142857142857142,2,10.5
72,29.0,24,0.0,245,81,255.0,Forward-Center,10.208333333333334,2,31.0
8,33.0,51,21.0,843,81,255.0,Forward-Center,16.529411764705884,0,0.0
71,34.0,16,1.0,123,81,255.0,Forward-Center,7.6875,2,4.0
9,35.0,2,0.0,6,81,255.0,Forward-Center,3.0,12,6.583333333333333
37,31.0,57,12.0,1361,76,185.0,Guard,23.87719298245614,0,0.0
36,23.0,6,4.0,166,74,165.0,Guard,27.666666666666668,0,0.0
108,25.0,13,0.0,118,74,165.0,Guard,9.076923076923077,3,12.0
119,23.0,3,0.0,9,82,230.0,Forward,3.0,0,0.0
147,24.0,9,0.0,38,82,230.0,Forward,4.222222222222222,1,119.0
33,24.0,4,0.0,24,77,185.0,Guard,6.0,0,0.0
63,25.0,12,0.0,60,77,185.0,Guard,5.0,3,11.0
55,24.0,5,5.0,136,85,282.0,Center,27.2,0,0.0
14,25.0,74,74.0,2253,85,282.0,Center,30.445945945945947,1,55.0
11,26.0,17,17.0,533,85,282.0,Center,31.352941176470587,2,34.5
20,27.0,72,44.0,2100,85,282.0,Center,29.166666666666668,3,26.666666666666668
4,29.0,75,75.0,2222,85,282.0,Center,29.626666666666665,3,10.333333333333334
14,30.0,74,72.0,1735,85,282.0,Center,23.445945945945947,4,6.0
5,32.0,68,67.0,1817,85,282.0,Center,26.720588235294116,3,6.0
149,34.0,13,11.0,298,85,282.0,Center,22.923076923076923,2,2.5
8,24.0,38,2.0,246,76,193.0,Guard,6.473684210526316,0,0.0
59,25.0,33,0.0,246,76,193.0,Guard,7.454545454545454,1,8.0
19,26.0,1,0.0,1,79,200.0,Forward,1.0,0,0.0
